Date,Day,Holiday,Type
2020-01-01,Monday,New Year's Day,Restricted Holiday
2020-01-14,Sunday,Pongal,Restricted Holiday
2020-01-14,Sunday,Makar Sankranti,Restricted Holiday
2020-01-22,Monday,Vasant Panchami,Restricted Holiday
2020-01-26,Friday,Republic Day,Gazetted Holiday
2020-01-31,Wednesday,Guru Ravidas Jayanti,Restricted Holiday
2020-02-10,Saturday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2020-02-14,Wednesday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2020-02-14,Wednesday,Valentine's Day,Observance
2020-02-16,Friday,Chinese New Year,Observance
2020-02-19,Monday,Shivaji Jayanti,Restricted Holiday
2020-03-01,Thursday,Holika Dahana,Restricted Holiday
2020-03-02,Friday,Holi,Restricted Holiday
2020-03-18,Sunday,Chaitra Sukhladi,Restricted Holiday
2020-03-20,Tuesday,March Equinox,Season
2020-03-25,Sunday,Rama Navami,Restricted Holiday
2020-03-29,Thursday,Maundy Thursday,"Observance, Christian"
2020-03-29,Thursday,Mahavir Jayanti,Gazetted Holiday
2020-03-30,Friday,Good Friday,Gazetted Holiday
2020-03-31,Saturday,First day of Passover,Observance
2020-04-01,Sunday,Hazarat Ali's Birthday,Restricted Holiday
2020-04-01,Sunday,Easter Day,Restricted Holiday
2020-04-14,Saturday,Vaisakhi,Restricted Holiday
2020-04-14,Saturday,Ambedkar Jayanti,Gazetted Holiday
2020-04-15,Sunday,Mesadi/Vaisakhadi,Restricted Holiday
2020-04-30,Monday,Buddha Purnima/Vesak,Gazetted Holiday
2020-05-01,Tuesday,May Day,Observance
2020-05-09,Wednesday,Birthday of Ravindranath,Restricted Holiday
2020-05-13,Sunday,Mother's Day,Observance
2020-06-15,Friday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2020-06-15,Friday,Jamat Ul-Vida,Restricted Holiday
2020-06-16,Saturday,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
2020-06-17,Sunday,Father's Day,Observance
2020-06-21,Thursday,June Solstice,Season
2020-07-14,Saturday,Rath Yatra,Restricted Holiday
2020-07-27,Friday,Guru Purnima,Observance
2020-08-05,Sunday,Friendship Day,Observance
2020-08-15,Wednesday,Independence Day,Gazetted Holiday
2020-08-17,Friday,Parsi New Year,Restricted Holiday
2020-08-22,Wednesday,Bakr Id/Eid ul-Adha,Gazetted Holiday
2020-08-25,Saturday,Onam,Restricted Holiday
2020-08-26,Sunday,Raksha Bandhan (Rakhi),Restricted Holiday
2020-09-03,Monday,Janmashtami,Gazetted Holiday
2020-09-03,Monday,Janmashtami (Smarta),Observance
2020-09-13,Thursday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2020-09-21,Friday,Muharram/Ashura,Gazetted Holiday
2020-09-23,Sunday,September Equinox,Season
2020-10-02,Tuesday,Mahatma Gandhi Jayanti,Gazetted Holiday
2020-10-16,Tuesday,Maha Saptami,Restricted Holiday
2020-10-17,Wednesday,Maha Ashtami,Restricted Holiday
2020-10-18,Thursday,Maha Navami,Restricted Holiday
2020-10-19,Friday,Dussehra,Gazetted Holiday
2020-10-24,Wednesday,Maharishi Valmiki Jayanti,Restricted Holiday
2020-10-27,Saturday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2020-10-31,Wednesday,Halloween,Observance
2020-11-06,Tuesday,Naraka Chaturdasi,Restricted Holiday
2020-11-07,Wednesday,Diwali/Deepavali,Gazetted Holiday
2020-11-08,Thursday,Govardhan Puja,Restricted Holiday
2020-11-09,Friday,Bhai Duj,Restricted Holiday
2020-11-13,Tuesday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2020-11-21,Wednesday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2020-11-23,Friday,Guru Nanak Jayanti,Gazetted Holiday
2020-11-24,Saturday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2020-12-03,Monday,First Day of Hanukkah,Observance
2020-12-10,Monday,Last day of Hanukkah,Observance
2020-12-22,Saturday,December Solstice,Season
2020-12-24,Monday,Christmas Eve,Restricted Holiday
2020-12-25,Tuesday,Christmas,Gazetted Holiday
2020-12-31,Monday,New Year's Eve,Observance
2020-12-31,Sunday,New Year's Eve,Observance
