Date,Day,Holiday,Type
2020-01-01,Sunday,Last day of Hanukkah,Observance
2020-01-01,Sunday,New Year's Day,Restricted Holiday
2020-01-05,Thursday,Guru Govind Singh Jayanti,Restricted Holiday
2020-01-14,Saturday,Pongal,Restricted Holiday
2020-01-14,Saturday,Makar Sankranti,Restricted Holiday
2020-01-26,Thursday,Republic Day,Gazetted Holiday
2020-01-28,Saturday,Chinese New Year,Observance
2020-02-01,Wednesday,Vasant Panchami,Restricted Holiday
2020-02-10,Friday,Guru Ravidas Jayanti,Restricted Holiday
2020-02-14,Tuesday,Valentine's Day,Observance
2020-02-19,Sunday,Shivaji Jayanti,Restricted Holiday
2020-02-21,Tuesday,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2020-02-24,Friday,Maha Shivaratri/Shivaratri,Gazetted Holiday
2020-03-12,Sunday,Holika Dahana,Restricted Holiday
2020-03-13,Monday,Holi,Restricted Holiday
2020-03-20,Monday,March Equinox,Season
2020-03-28,Tuesday,Chaitra Sukhladi,Restricted Holiday
2020-04-04,Tuesday,Rama Navami,Gazetted Holiday
2020-04-09,Sunday,Mahavir Jayanti,Gazetted Holiday
2020-04-11,Tuesday,First day of Passover,Observance
2020-04-11,Tuesday,Hazarat Ali's Birthday,Restricted Holiday
2020-04-13,Thursday,Maundy Thursday,"Observance, Christian"
2020-04-14,Friday,Good Friday,Gazetted Holiday
2020-04-14,Friday,Vaisakhi,Restricted Holiday
2020-04-14,Friday,Ambedkar Jayanti,Observance
2020-04-15,Saturday,Mesadi/Vaisakhadi,Restricted Holiday
2020-04-16,Sunday,Easter Day,Restricted Holiday
2020-05-01,Monday,May Day,Observance
2020-05-09,Tuesday,Birthday of Ravindranath,Restricted Holiday
2020-05-10,Wednesday,Buddha Purnima/Vesak,Gazetted Holiday
2020-05-14,Sunday,Mother's Day,Observance
2020-06-18,Sunday,Father's Day,Observance
2020-06-21,Wednesday,June Solstice,Season
2020-06-23,Friday,Jamat Ul-Vida,Restricted Holiday
2020-06-25,Sunday,Rath Yatra,Restricted Holiday
2020-06-26,Monday,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2020-07-09,Sunday,Guru Purnima,Observance
2020-08-06,Sunday,Friendship Day,Observance
2020-08-07,Monday,Raksha Bandhan (Rakhi),Restricted Holiday
2020-08-15,Tuesday,Independence Day,Gazetted Holiday
2020-08-15,Tuesday,Janmashtami,Gazetted Holiday
2020-08-17,Thursday,Parsi New Year,Restricted Holiday
2020-08-25,Friday,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2020-09-02,Saturday,Bakr Id/Eid ul-Adha,Gazetted Holiday
2020-09-04,Monday,Onam,Restricted Holiday
2020-09-23,Saturday,September Equinox,Season
2020-09-27,Wednesday,Maha Saptami,Restricted Holiday
2020-09-28,Thursday,Maha Ashtami,Restricted Holiday
2020-09-29,Friday,Maha Navami,Restricted Holiday
2020-09-30,Saturday,Dussehra,Gazetted Holiday
2020-10-01,Sunday,Muharram/Ashura,Gazetted Holiday
2020-10-02,Monday,Mahatma Gandhi Jayanti,Gazetted Holiday
2020-10-05,Thursday,Maharishi Valmiki Jayanti,Restricted Holiday
2020-10-08,Sunday,Karaka Chaturthi (Karva Chauth),Restricted Holiday
2020-10-18,Wednesday,Naraka Chaturdasi,Restricted Holiday
2020-10-19,Thursday,Diwali/Deepavali,Gazetted Holiday
2020-10-20,Friday,Govardhan Puja,Restricted Holiday
2020-10-21,Saturday,Bhai Duj,Restricted Holiday
2020-10-26,Thursday,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
2020-10-31,Tuesday,Halloween,Observance
2020-11-04,Saturday,Guru Nanak Jayanti,Gazetted Holiday
2020-11-24,Friday,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2020-12-02,Saturday,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2020-12-13,Wednesday,First Day of Hanukkah,Observance
2020-12-20,Wednesday,Last day of Hanukkah,Observance
2020-12-21,Thursday,December Solstice,Season
2020-12-24,Sunday,Christmas Eve,Restricted Holiday
2020-12-25,Monday,Christmas,Gazetted Holiday
2020-12-25,Monday,Guru Govind Singh Jayanti,Observance
2020-12-31,Sunday,New Year's Eve,Observance
