iter	RMSE
0	83.63667497
1	83.62192566
2	83.61544172
3	83.60316849
4	83.58933541
5	83.57786017
6	83.56768115
7	83.55984781
8	83.55201383
9	83.54355648
10	83.53729251
11	83.53310357
12	83.52541656
13	83.51580763
14	83.5062453
15	83.49200161
16	83.48150592
17	83.47414821
18	83.46681438
19	83.46154985
20	83.45173513
21	83.44087583
22	83.43402726
23	83.42801794
24	83.42532057
25	83.41008187
26	83.40840446
27	83.39931709
28	83.39611447
29	83.38676516
30	83.37782489
31	83.36924839
32	83.36265665
33	83.35517234
34	83.34988257
35	83.33847877
36	83.33554597
37	83.32503895
38	83.31767082
39	83.30640395
40	83.29280204
41	83.28184394
42	83.27321279
43	83.26558206
44	83.26105431
45	83.25751044
46	83.246734
47	83.2435461
48	83.24090135
49	83.23361
50	83.22353
51	83.21310733
52	83.19978002
53	83.19115946
54	83.1847494
55	83.18065877
56	83.17004063
57	83.15792034
58	83.15192745
59	83.14902107
60	83.14405962
61	83.13547614
62	83.13048786
63	83.1234388
64	83.11603238
65	83.10572198
66	83.08956068
67	83.08820959
68	83.08195597
69	83.07640467
70	83.06039654
71	83.05302385
72	83.04443549
73	83.03930736
74	83.03501293
75	83.0306394
76	83.02407066
77	83.01534647
78	83.00656185
79	82.99860231
80	82.99019566
81	82.98473457
82	82.98032257
83	82.97143203
84	82.96531148
85	82.96432471
86	82.95262112
87	82.94350594
88	82.9348572
89	82.92566683
90	82.9253147
91	82.92161221
92	82.91829206
93	82.91488059
94	82.90717488
95	82.89917213
96	82.8875184
97	82.87630749
98	82.86380042
99	82.85734128
100	82.8507446
101	82.84703656
102	82.83960445
103	82.83843957
104	82.82621745
105	82.82053476
106	82.81791367
107	82.80577674
108	82.79549769
109	82.78728189
110	82.78163557
111	82.77809364
112	82.77217929
113	82.76427698
114	82.75894043
115	82.75744998
116	82.74319885
117	82.73575614
118	82.72357462
119	82.71774754
120	82.70754414
121	82.70053745
122	82.69642743
123	82.68650909
124	82.67967539
125	82.67508424
126	82.66998796
127	82.66474026
128	82.65677354
129	82.64875991
130	82.63975879
131	82.62914565
132	82.62337079
133	82.62014886
134	82.60948844
135	82.60363075
136	82.59698132
137	82.58574816
138	82.57604602
139	82.57018999
140	82.56446543
141	82.56066761
142	82.54533519
143	82.53105654
144	82.5247565
145	82.51634806
146	82.50239594
147	82.49968669
148	82.49293804
149	82.48292452
150	82.47550207
151	82.46029188
152	82.4538335
153	82.44977127
154	82.44280785
155	82.42913657
156	82.41530498
157	82.40784086
158	82.40525482
159	82.39361763
160	82.38595704
161	82.3757955
162	82.37065661
163	82.36132486
164	82.35635305
165	82.34933388
166	82.3373562
167	82.32722969
168	82.31307237
169	82.30209432
170	82.29026094
171	82.28872492
172	82.27463063
173	82.26564098
174	82.26408057
175	82.25843704
176	82.24336529
177	82.23249137
178	82.21714676
179	82.20952889
180	82.19570254
181	82.1807211
182	82.16433374
183	82.15502841
184	82.1440661
185	82.13919742
186	82.12760002
187	82.11904762
188	82.11235787
189	82.11012886
190	82.10813922
191	82.09824588
192	82.08383334
193	82.08332676
194	82.08133555
195	82.07402374
196	82.06503195
197	82.05509561
198	82.04454583
199	82.03837743
200	82.02649339
201	82.01423806
202	82.00643907
203	82.00383189
204	81.99984914
205	81.98950873
206	81.97968668
207	81.9691284
208	81.96850835
209	81.95838837
210	81.94549366
211	81.93751794
212	81.93500372
213	81.92772748
214	81.91510857
215	81.90340334
216	81.89679572
217	81.88591481
218	81.88552967
219	81.87491714
220	81.86369472
221	81.86046246
222	81.85052011
223	81.84096965
224	81.83096168
225	81.83049205
226	81.82183501
227	81.81059634
228	81.79840671
229	81.78538609
230	81.77193708
231	81.76259821
232	81.75293183
233	81.74642939
234	81.74139262
235	81.73301274
236	81.72651879
237	81.72063935
238	81.70957844
239	81.69768485
240	81.68733274
241	81.67722574
242	81.67089165
243	81.66699366
244	81.66677871
245	81.66544636
246	81.65336836
247	81.644105
248	81.63564119
249	81.62308273
250	81.61597248
251	81.6073242
252	81.6026207
253	81.59358066
254	81.58507282
255	81.58436878
256	81.57858012
257	81.56984619
258	81.56957379
259	81.55803776
260	81.54824766
261	81.5400017
262	81.52827295
263	81.51699157
264	81.51389078
265	81.50942983
266	81.50125493
267	81.49289787
268	81.48060041
269	81.46835878
270	81.46508738
271	81.45133585
272	81.44280933
273	81.43401323
274	81.43362212
275	81.43314281
276	81.42245265
277	81.42223133
